SalesID,JuiceID,Quantity
TR00001,JU00007,1
TR00001,JU00249,4
TR00001,JU00548,1
TR00001,JU00585,5
TR00002,JU00138,1
TR00002,JU00459,3
TR00002,JU00994,2
TR00003,JU00452,5
TR00003,JU00664,4
TR00003,JU00696,4
TR00003,JU00819,5
TR00003,JU00960,1
TR00004,JU00175,1
TR00004,JU00310,5
TR00004,JU00334,5
TR00004,JU00949,4
TR00005,JU00001,2
TR00005,JU00158,2
TR00005,JU00220,5
TR00005,JU00365,1
TR00005,JU00794,5
TR00006,JU00157,1
TR00006,JU00404,3
TR00006,JU00603,5
TR00006,JU00711,5
TR00007,JU00534,5
TR00008,JU00373,4
TR00009,JU00667,1
TR00010,JU00315,5
TR00010,JU00744,2
TR00011,JU00206,2
TR00011,JU00508,4
TR00012,JU00524,5
TR00012,JU00810,1
TR00013,JU00480,3
TR00013,JU00581,5
TR00013,JU00828,5
TR00014,JU00116,1
TR00014,JU00321,4
TR00014,JU00880,2
TR00014,JU00915,3
TR00015,JU00151,4
TR00015,JU00240,3
TR00015,JU00425,1
TR00015,JU00460,1
TR00015,JU00643,1
TR00016,JU00748,1
TR00017,JU00306,3
TR00017,JU00635,4
TR00017,JU00686,1
TR00018,JU00784,4
TR00019,JU00462,1
TR00020,JU00434,5
TR00020,JU00842,5
TR00020,JU00886,3
TR00021,JU00470,2
TR00022,JU00204,2
TR00022,JU00643,3
TR00022,JU00707,2
TR00023,JU00379,2
TR00023,JU00550,4
TR00023,JU00737,2
TR00023,JU00742,5
TR00023,JU00860,3
TR00024,JU00424,5
TR00024,JU00529,5
TR00024,JU00883,5
TR00025,JU00729,1
TR00026,JU00125,3
TR00026,JU00728,1
TR00027,JU00520,4
TR00027,JU00611,2
TR00027,JU00910,1
TR00028,JU00079,2
TR00028,JU00519,2
TR00029,JU00023,2
TR00029,JU00667,2
TR00030,JU00271,3
TR00030,JU00541,2
TR00030,JU00654,5
TR00031,JU00596,4
TR00031,JU00895,4
TR00032,JU00359,3
TR00033,JU00501,2
TR00033,JU00805,3
TR00034,JU00310,3
TR00034,JU00438,2
TR00034,JU00660,3
TR00034,JU00912,2
TR00035,JU00181,1
TR00035,JU00841,1
TR00036,JU00036,1
TR00036,JU00123,4
TR00036,JU00510,1
TR00036,JU00783,4
TR00036,JU00875,3
TR00037,JU00024,1
TR00038,JU00154,4
TR00038,JU00165,5
TR00038,JU00355,2
TR00039,JU00236,1
TR00039,JU00273,3
TR00040,JU00083,5
TR00040,JU00406,4
TR00040,JU00590,1
TR00040,JU00638,2
TR00040,JU00965,4
TR00041,JU00308,1
TR00041,JU00478,5
TR00042,JU00151,1
TR00043,JU00469,2
TR00043,JU00874,5
TR00044,JU00113,3
TR00045,JU00974,2
TR00046,JU00095,2
TR00046,JU00212,4
TR00046,JU00587,2
TR00046,JU00695,5
TR00046,JU00886,2
TR00047,JU00121,4
TR00047,JU00263,4
TR00047,JU00460,5
TR00048,JU00239,2
TR00048,JU00344,3
TR00048,JU00780,4
TR00049,JU00782,4
TR00049,JU00872,4
TR00050,JU00651,5
TR00051,JU00269,4
TR00051,JU00380,5
TR00051,JU00538,5
TR00051,JU00675,3
TR00051,JU00710,1
TR00052,JU00518,3
TR00052,JU00812,5
TR00053,JU00002,5
TR00054,JU00134,5
TR00054,JU00849,4
TR00055,JU00026,2
TR00055,JU00167,4
TR00056,JU00689,1
TR00057,JU00253,4
TR00058,JU00126,5
TR00058,JU00266,1
TR00058,JU00625,2
TR00058,JU00790,4
TR00059,JU00333,1
TR00059,JU00536,3
TR00060,JU00339,5
TR00060,JU00474,1
TR00060,JU00578,3
TR00060,JU00623,1
TR00060,JU00710,2
TR00060,JU00847,5
TR00061,JU00334,5
TR00061,JU00524,3
TR00061,JU00538,4
TR00062,JU00139,1
TR00062,JU00925,3
TR00063,JU00718,4
TR00063,JU00723,5
TR00064,JU00999,4
TR00065,JU00326,5
TR00065,JU00914,1
TR00066,JU00050,2
TR00066,JU00361,4
TR00066,JU00925,1
TR00067,JU00120,1
TR00067,JU00246,4
TR00067,JU00409,3
TR00067,JU00796,4
TR00068,JU00077,5
TR00069,JU00476,3
TR00069,JU00808,3
TR00069,JU00880,2
TR00070,JU00943,1
TR00071,JU00019,2
TR00071,JU00130,1
TR00071,JU00636,5
TR00071,JU00728,5
TR00072,JU00281,5
TR00072,JU00736,5
TR00073,JU00062,2
TR00073,JU00327,1
TR00073,JU00970,2
TR00074,JU00061,5
TR00074,JU00134,1
TR00074,JU00460,1
TR00074,JU00469,5
TR00074,JU00771,4
TR00074,JU00895,4
TR00074,JU00972,3
TR00075,JU00140,5
TR00076,JU00035,3
TR00076,JU00064,2
TR00076,JU00498,5
TR00077,JU00277,5
TR00078,JU00039,1
TR00078,JU00289,1
TR00078,JU00787,1
TR00078,JU00834,3
TR00079,JU00789,1
TR00080,JU00076,1
TR00080,JU00134,2
TR00080,JU00605,2
TR00081,JU00108,3
TR00081,JU00323,1
TR00081,JU00997,2
TR00082,JU00178,4
TR00082,JU00477,2
TR00083,JU00575,4
TR00084,JU00147,3
TR00084,JU00204,5
TR00084,JU00445,2
TR00085,JU00311,1
TR00085,JU00525,1
TR00085,JU00642,2
TR00085,JU00958,2
TR00086,JU00055,2
TR00086,JU00237,3
TR00086,JU00365,4
TR00086,JU00389,3
TR00087,JU00441,1
TR00087,JU00458,2
TR00088,JU00008,1
TR00088,JU00211,3
TR00088,JU00956,5
TR00089,JU00358,4
TR00089,JU00374,2
TR00089,JU00813,2
TR00090,JU00862,4
TR00091,JU00675,3
TR00091,JU00796,2
TR00091,JU00959,3
TR00091,JU00961,2
TR00092,JU00343,5
TR00092,JU00356,5
TR00092,JU00399,3
TR00093,JU00383,3
TR00094,JU00137,2
TR00094,JU00254,1
TR00094,JU00858,1
TR00094,JU00963,2
TR00095,JU00572,4
TR00096,JU00794,3
TR00096,JU00905,2
TR00097,JU00267,3
TR00097,JU00558,4
TR00098,JU00067,4
TR00099,JU00710,5
TR00100,JU00041,5
TR00101,JU00712,3
TR00101,JU00847,2
TR00102,JU00137,1
TR00102,JU00443,5
TR00102,JU00875,4
TR00103,JU00621,2
TR00103,JU00710,3
TR00104,JU00426,3
TR00104,JU00699,4
TR00105,JU00857,4
TR00106,JU00120,4
TR00106,JU00430,5
TR00106,JU00636,2
TR00106,JU00693,4
TR00106,JU00934,5
TR00107,JU00131,4
TR00107,JU00249,1
TR00107,JU00515,1
TR00108,JU00255,4
TR00108,JU00808,1
TR00109,JU00381,1
TR00109,JU00706,3
TR00109,JU00826,3
TR00110,JU00675,2
TR00110,JU00975,2
TR00111,JU00129,5
TR00111,JU00145,3
TR00111,JU00541,3
TR00111,JU00600,3
TR00111,JU00823,2
TR00112,JU00196,1
TR00112,JU00962,4
TR00113,JU00356,3
TR00113,JU00425,5
TR00113,JU00544,4
TR00113,JU00753,2
TR00113,JU00971,1
TR00114,JU00110,3
TR00114,JU00442,3
TR00114,JU00477,1
TR00114,JU00546,5
TR00115,JU00119,3
TR00115,JU00136,4
TR00115,JU00609,3
TR00116,JU00744,5
TR00116,JU00785,5
TR00116,JU00801,4
TR00117,JU00109,4
TR00117,JU00140,3
TR00117,JU00290,1
TR00118,JU00049,1
TR00119,JU00803,1
TR00119,JU00919,3
TR00120,JU00089,1
