SalesID,SalesDate,StaffID,CustomerID
TR00001,2021-02-20,ST00160,CU00970
TR00002,2021-08-23,ST00882,CU00687
TR00003,2019-06-13,ST00367,CU00681
TR00004,2020-05-01,ST00616,CU00325
TR00005,2019-06-26,ST00745,CU00773
TR00006,2019-01-16,ST00402,CU00529
TR00007,2019-09-27,ST00681,CU00341
TR00008,2021-09-22,ST00339,CU00611
TR00009,2020-11-07,ST00957,CU00121
TR00010,2021-09-09,ST00326,CU00403
TR00011,2021-03-10,ST00444,CU00632
TR00012,2020-07-18,ST00369,CU00553
TR00013,2020-02-08,ST00687,CU00405
TR00014,2019-05-14,ST00699,CU00991
TR00015,2019-05-15,ST00674,CU00250
TR00016,2021-09-07,ST00725,CU00356
TR00017,2021-01-27,ST00862,CU00610
TR00018,2021-12-23,ST00264,CU00969
TR00019,2020-04-09,ST00825,CU00023
TR00020,2021-11-24,ST00344,CU00303
TR00021,2020-12-21,ST00698,CU00418
TR00022,2021-10-20,ST00379,CU00125
TR00023,2020-08-04,ST00922,CU00723
TR00024,2019-05-03,ST00491,CU00378
TR00025,2019-07-14,ST00737,CU00085
TR00026,2019-09-16,ST00372,CU00250
TR00027,2020-05-16,ST00209,CU00769
TR00028,2020-03-17,ST00632,CU00311
TR00029,2020-12-02,ST00463,CU00033
TR00030,2020-10-05,ST00274,CU00345
TR00031,2019-12-17,ST00341,CU00092
TR00032,2021-02-16,ST00730,CU00428
TR00033,2020-09-11,ST00020,CU00995
TR00034,2019-07-15,ST00503,CU00847
TR00035,2019-03-22,ST00784,CU00707
TR00036,2020-01-18,ST00503,CU00987
TR00037,2019-06-24,ST00761,CU00078
TR00038,2020-02-07,ST00011,CU00691
TR00039,2021-03-17,ST00956,CU00918
TR00040,2021-09-21,ST00790,CU00514
TR00041,2019-11-01,ST00655,CU00209
TR00042,2020-07-01,ST00619,CU00625
TR00043,2021-02-08,ST00489,CU00319
TR00044,2019-08-10,ST00993,CU00376
TR00045,2019-01-07,ST00159,CU00208
TR00046,2021-11-04,ST00396,CU00279
TR00047,2021-03-25,ST00552,CU00828
TR00048,2021-05-13,ST00741,CU00609
TR00049,2020-01-05,ST00444,CU00369
TR00050,2021-11-02,ST00651,CU00466
TR00051,2020-11-19,ST00434,CU00244
TR00052,2019-10-24,ST00198,CU00225
TR00053,2021-05-28,ST00970,CU00249
TR00054,2019-11-20,ST00184,CU00517
TR00055,2019-03-02,ST00762,CU00849
TR00056,2020-01-07,ST00865,CU00782
TR00057,2020-02-22,ST00324,CU00319
TR00058,2019-10-19,ST00942,CU00465
TR00059,2019-02-11,ST00452,CU00974
TR00060,2019-02-25,ST00222,CU00840
TR00061,2019-04-24,ST00616,CU00782
TR00062,2021-02-28,ST00289,CU00975
TR00063,2021-06-11,ST00352,CU00479
TR00064,2020-01-18,ST00848,CU00595
TR00065,2019-09-07,ST00496,CU00719
TR00066,2019-08-16,ST00770,CU00527
TR00067,2021-12-09,ST00167,CU00561
TR00068,2020-02-24,ST00934,CU00013
TR00069,2021-03-13,ST00659,CU00860
TR00070,2019-07-12,ST00712,CU00233
TR00071,2020-08-04,ST00447,CU00301
TR00072,2021-10-01,ST00920,CU00654
TR00073,2019-11-28,ST00979,CU00075
TR00074,2019-12-06,ST00870,CU00756
TR00075,2021-01-26,ST00271,CU00282
TR00076,2019-03-26,ST00899,CU00562
TR00077,2020-10-04,ST00733,CU00124
TR00078,2019-02-18,ST00446,CU00224
TR00079,2019-11-20,ST00046,CU00437
TR00080,2020-01-04,ST00577,CU00015
TR00081,2020-01-02,ST00435,CU00114
TR00082,2020-12-03,ST00543,CU00555
TR00083,2020-07-10,ST00235,CU00372
TR00084,2019-06-07,ST00629,CU00194
TR00085,2019-10-24,ST00503,CU00584
TR00086,2021-04-18,ST00544,CU00764
TR00087,2019-03-09,ST00619,CU00262
TR00088,2021-02-21,ST00952,CU00936
TR00089,2020-07-18,ST00821,CU00965
TR00090,2020-09-25,ST00108,CU00133
TR00091,2020-02-11,ST00417,CU00914
TR00092,2021-03-15,ST00912,CU00398
TR00093,2020-10-24,ST00926,CU00551
TR00094,2020-07-09,ST00058,CU00260
TR00095,2019-04-23,ST00801,CU00949
TR00096,2020-01-08,ST00748,CU00706
TR00097,2021-12-21,ST00182,CU00151
TR00098,2021-10-05,ST00213,CU00158
TR00099,2019-06-26,ST00895,CU00891
TR00100,2021-09-09,ST00025,CU00461
TR00101,2021-11-10,ST00945,CU00222
TR00102,2021-05-27,ST00007,CU00838
TR00103,2020-04-22,ST00027,CU00423
TR00104,2020-05-03,ST00616,CU00526
TR00105,2021-01-06,ST00374,CU00882
TR00106,2021-07-19,ST00166,CU00470
TR00107,2019-03-12,ST00733,CU00512
TR00108,2019-11-18,ST00864,CU00584
